id,orden_id,tipo,tecnico_id,at,meta,payload,created_at,cierre_token
58ef42e3-88a1-4563-91bd-ad86c592f7f9,23d23bf2-4dbb-4432-baf0-ce70e6879d91,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:54.053203+00,{},"{""codigo"": ""COR-250925204553"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:45:54.05+00,
dcbeef2e-f3f3-46c0-a095-594bc30aa0cd,23d23bf2-4dbb-4432-baf0-ce70e6879d91,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:54.076325+00,{},"{""codigo"": ""COR-250925204553"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:45:54.078+00,
8efe1d29-c8aa-4e05-9b5f-305352250b5a,b7a4f76f-9b96-43f6-86e6-558a156bd890,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:54.401478+00,{},"{""codigo"": ""MAN-250925204553"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:45:54.399+00,
51eb0304-6f07-4da6-974c-003c3a98ca9a,b7a4f76f-9b96-43f6-86e6-558a156bd890,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:54.53156+00,{},"{""codigo"": ""MAN-250925204553"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:45:54.547+00,
505103a5-6c88-456a-8da6-ae2fac47818d,5d0adb0b-1a66-40bc-b23b-086b4800d10f,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:57.145675+00,{},"{""codigo"": ""MAN-250925204556"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:45:57.143+00,
6f3b0b72-6a2d-4c8f-b7ad-967671d4b8a7,5d0adb0b-1a66-40bc-b23b-086b4800d10f,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:57.205827+00,{},"{""codigo"": ""MAN-250925204556"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:45:57.218+00,
09410aa8-7378-4459-850f-5091610a3c3f,d3f0feda-dfc2-4d25-9d6a-022fd248d982,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:58.848387+00,{},"{""codigo"": ""COR-250925204556"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:45:58.846+00,
62b6b969-0f40-46aa-8e81-52afbce5a486,d3f0feda-dfc2-4d25-9d6a-022fd248d982,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:58.907004+00,{},"{""codigo"": ""COR-250925204556"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:45:58.909+00,
41cc9406-9625-4ad9-bc85-f9bfdd87807c,11d8b79d-b9ed-43d1-86c3-520d85451d71,iniciar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:59.639253+00,{},"{""codigo"": ""REC-250925204556"", ""estado"": ""en_progreso"", ""fuente"": ""trigger""}",2025-09-26 01:45:59.637+00,
1058f73b-7c5e-4d11-bcee-6e58a32ca6f1,11d8b79d-b9ed-43d1-86c3-520d85451d71,cerrar,c1f2dd81-8f1c-477c-b7cd-580dd13916d3,2025-09-26 01:45:59.700362+00,{},"{""codigo"": ""REC-250925204556"", ""estado"": ""cerrada"", ""fuente"": ""trigger"", ""cierre_token"": null}",2025-09-26 01:45:59.702+00,
