isp-api  | [RES] GET /v1/catalogos/motivos-reagenda -> 200 2.0ms rid=0b11b5c7-4fd8-4862-9fda-b4324e90d164
isp-api  | [REQ] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true rid=8fe5d777-1505-46da-93d8-84163a22ccee
isp-api  | [RES] GET /v1/catalogos/motivos_reagenda/items?soloActivos=true -> 200 1.9ms rid=8fe5d777-1505-46da-93d8-84163a22ccee
isp-api  | [REQ] GET /v1/admin/catalogos/motivos_reagenda/items rid=7ced86ae-1da1-469d-8a8f-21b00dcf214a
isp-api  | [RES] GET /v1/admin/catalogos/motivos_reagenda/items -> 200 4.0ms rid=7ced86ae-1da1-469d-8a8f-21b00dcf214a
isp-api  | [REQ] POST /v1/admin/catalogos/motivos_reagenda/items rid=bf8ecc5c-fdc6-46bc-86fd-5d74152715fb
isp-api  | [RES] POST /v1/admin/catalogos/motivos_reagenda/items -> 201 9.1ms rid=bf8ecc5c-fdc6-46bc-86fd-5d74152715fb
isp-api  | [REQ] GET /v1/materiales rid=652ea375-884b-45ff-b009-e112121be7ee
isp-api  | [RES] GET /v1/materiales -> 200 3.2ms rid=652ea375-884b-45ff-b009-e112121be7ee
isp-api  | [REQ] POST /v1/agenda/ordenes/MAN-20250919180843/asignar rid=7c65aa65-643f-4176-9969-aae6a3fb0e64
isp-api  | [32m[Nest] 1  - [39m09/19/2025, 11:08:43 PM [32m    LOG[39m [38;5;3m[AgendaService] [39m[32m[ASIGNAR] MAN-20250919180843 -> {"ok":true,"orden":[{"codigo":"MAN-20250919180843","estado":"agendada","agendadoPara":"2025-09-19","turno":"am","agendadaAt":"2025-09-19T23:08:43.536Z","tecnicoId":"a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec"}]}[39m
isp-api  | [RES] POST /v1/agenda/ordenes/MAN-20250919180843/asignar -> 200 5.6ms rid=7c65aa65-643f-4176-9969-aae6a3fb0e64
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=ad31ecff-31c0-4b14-af5d-c3ad447097b0
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 5.7ms rid=ad31ecff-31c0-4b14-af5d-c3ad447097b0
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180843/iniciar rid=15807e2d-9783-4a59-a111-4d7df682ead4
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180843/iniciar -> 200 7.8ms rid=15807e2d-9783-4a59-a111-4d7df682ead4
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180843/cerrar rid=73a922dc-d5ca-42f1-a139-44aa644519d7
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/MAN-20250919180843/cerrar -> 200 13.9ms rid=73a922dc-d5ca-42f1-a139-44aa644519d7
isp-api  | [REQ] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes rid=15dcd565-f00a-4ca5-9b9a-0aa859ecf72c
isp-api  | [RES] GET /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/pendientes -> 200 6.0ms rid=15dcd565-f00a-4ca5-9b9a-0aa859ecf72c
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180844/iniciar rid=089a1427-d356-4fd5-b124-4b7ea84475cf
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180844/iniciar -> 200 5.5ms rid=089a1427-d356-4fd5-b124-4b7ea84475cf
isp-api  | [REQ] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180844/cerrar rid=093cf52b-6b98-4b21-8f48-cbd44b604d80
isp-api  | [RES] POST /v1/tecnicos/a5fa2f0d-4911-4f05-bbfa-ad3e9f38c4ec/ordenes/TEK-20250919180844/cerrar -> 200 5.5ms rid=093cf52b-6b98-4b21-8f48-cbd44b604d80
